order id,date,product,qty
2001,2026-03-08,Hoodie,6
2001,2026-03-08,Hoodie,6
2002,08/03/2026,Jeans,8
2003,2026-03-08,Sneakers,5
2003,2026-03-08,Sneakers,5
2004,2026-03-08,Cap,7
2005,2026-03-09,Jacket,9
2005,2026-03-09,Jacket,9
2006,2026-03-09,T-shirt,6
2007,09/03/2026,Sneakers,4
2007,09/03/2026,Sneakers,4
2008,2026-03-10,Cap,8
2008,10-03-2026,Cap,8
2009,2026-03-10,Hoodie,7
2010,2026-03-11,Jeans,10
2011,11/03/2026,Jacket,5
2012,2026-03-12,T-shirt,9
2013,12-03-2026,Sneakers,6
2014,2026-03-13,Cap,4
2015,2026-03-14,Hoodie,8
2016,14/03/2026,Jeans,9
