OrderID,Created At,Product Name,Quantity
3001,15/03/2026,Jacket,8
3001,15/03/2026,Jacket,8
3002,15-03-2026,T-shirt,10
3003,15/03/2026,Sneakers,7
3004,15-03-2026,Cap,6
3005,2026-03-16,Hoodie,12
3006,16/03/2026,Jeans,9
3007,2026-03-16,Sneakers,5
3007,2026-03-16,Sneakers,5
3008,2026-03-17,Cap,11
3009,2026-03-17,Hoodie,13
3010,2026-03-17,Jacket,7
3011,2026-03-18,T-shirt,14
3011,2026-03-18,T-shirt,14
3012,18-03-2026,Sneakers,6
3013,18/03/2026,Jeans,10
3013,18/03/2026,Jeans,10
3014,19-03-2026,Cap,5
3015,2026-03-19,Hoodie,15
3015,2026-03-19,Hoodie,15
3016,2026-03-19,Jacket,9
3017,20-03-2026,T-shirt,12
3017,20-03-2026,T-shirt,12
3018,2026-03-20,Sneakers,8
3018,2026-03-20,Sneakers,8
3019,2026-03-21,Jeans,11
3020,2026-03-21,Cap,7
